Column,IQR_Count,IQR_Percentage,Z_Score_Count,Z_Score_Percentage,MAD_Count,MAD_Percentage
Sensor_1,0,0.0,0,0.0,0,0.0
Sensor_2,128,0.620425573166594,31,0.15025931850128446,5,0.02423537395182008
Sensor_3,165,0.7997673404100625,47,0.2278125151471087,10,0.04847074790364016
Sensor_4,120,0.5816489748436818,36,0.17449469245310456,1,0.004847074790364015
Sensor_5,0,0.0,0,0.0,0,0.0
Sensor_6,406,1.9679123648877903,406,1.9679123648877903,0,0.0
Sensor_7,110,0.5331782269400417,34,0.16480054287237653,1,0.004847074790364015
Sensor_8,320,1.551063932916485,107,0.5186370025689496,10,0.04847074790364016
Sensor_9,1686,8.17216809655373,521,2.525325965779652,1265,6.131549609810479
Sensor_10,0,0.0,0,0.0,0,0.0
Sensor_11,167,0.8094614899907905,23,0.11148272017837235,3,0.014541224371092046
Sensor_12,146,0.7076729193931462,34,0.16480054287237653,3,0.014541224371092046
Sensor_13,161,0.7803790412486065,83,0.40230720760021327,23,0.11148272017837235
Sensor_14,1543,7.479036401531676,496,2.4041490960205514,1092,5.293005671077505
Sensor_15,120,0.5816489748436818,33,0.1599534680820125,2,0.00969414958072803
Sensor_16,0,0.0,0,0.0,0,0.0
Sensor_17,81,0.3926130580194852,81,0.3926130580194852,8,0.03877659832291212
Sensor_18,0,0.0,0,0.0,0,0.0
Sensor_19,0,0.0,0,0.0,0,0.0
Sensor_20,117,0.5671077504725899,43,0.20842421598565264,5,0.02423537395182008
Sensor_21,136,0.6592021714895061,34,0.16480054287237653,3,0.014541224371092046
