Column,Skewness,Kurtosis,CV (Coeff. of Variation)
Unit_Number,-0.06781523411254538,-1.2198241276919555,0.5674544852229532
Time_Cycles,0.4999039652821548,-0.21853910305057322,0.6330515914880241
Op_Setting_1,-0.024766266735206488,-0.00913162427320291,246.59269817831418
Op_Setting_2,0.009085119712319392,-1.1304470157525255,124.66318952420906
Op_Setting_3,0.0,0.0,0.0
Sensor_1,0.0,0.0,0.0
Sensor_2,0.31652589093963224,-0.11204294433592699,0.0007780739150002516
Sensor_3,0.30894580610560385,0.0077618224034674554,0.003854800630032344
Sensor_4,0.44319434085897425,-0.1636808632157254,0.006388238324275223
Sensor_5,-1.0000727128770666,-2.000193911188675,3.645143416493047e-16
Sensor_6,-6.916812983282273,45.84674628846936,6.427568540485508e-05
Sensor_7,-0.39432893903603106,-0.1579492183802329,0.0015994649484083576
Sensor_8,0.4794108607369622,0.3331490098948757,2.9724709358875325e-05
Sensor_9,2.5553648673363285,9.378681311347437,0.002435994233080271
Sensor_10,0.0,0.0,0.0
Sensor_11,0.469329093552983,-0.1721918817381609,0.005618023474411354
Sensor_12,-0.44240724332111075,-0.1449165711910254,0.0014145269246309063
Sensor_13,0.46979242195286885,0.3872437577498191,3.0115586270067357e-05
Sensor_14,2.3725536465659527,8.854664459637098,0.0023424306492196272
Sensor_15,0.38825858245756184,-0.12142999832309087,0.004442595497573036
Sensor_16,0.0,0.0,1.156510346118237e-16
Sensor_17,0.3531256608654112,-0.039174043498436006,0.003938761601115734
Sensor_18,0.0,0.0,0.0
Sensor_19,0.0,0.0,0.0
Sensor_20,-0.3584452022037185,-0.11282910578394034,0.0046564604171740595
Sensor_21,-0.35037496216079334,-0.11703944812881728,0.0046480139214991395
